ID,Start time,Completion time,Email,Name,Last modified time,"What year level are you in?
",How long does it take you to travel to school (one way)?,How do you usually get to school?,How many people are in your family (including yourself)?,Which type of learning activities do you tend to enjoy most?,Which language are you currently studying (or have studied the longest)?,What grade do you usually achieve overall?,When do you usually complete your homework?,How do you usually study?,"When preparing for assessments, you usually:",What type of homework do you find most useful?,"On average, how many hours per day do you spend on your phone?","On average, how many hours per week do you spend on social media/messages/gaming?",Do you think you spend more time on social media than you should?,How often do you use AI to help with homework?,What do you mainly use your device for during a school week?,How comfortable are you using new technology tools?,Would you trust Linewize with your Trinity password?,How many hours of sleep do you get on a typical school night?,What time of day are you most productive?,How many days per week do you participate in physical activity?,Which sport do you participate in after school? (Select all that apply),How many extracurricular commitments do you have per week?,"On weekends, you mostly spend your time:",How do you prefer to receive instructions?,"When working on a difficult problem, you usually:",How organised do you consider yourself?,"When given a long-term project, you usually:",Do you prefer structure or flexibility in tasks?,Group projects or solo work?,Where do you usually spend lunchtime?,Which co-curricular area interests you most?,Which house event do you enjoy the most?,Pineapple on pizza?,Dogs or cats?,What type of music do you listen to most?,Do you prefer working in silence or with background noise?,How many languages can you speak confidently?,Which of the following is a berry?,"What year level are you in?
2"
1,2/25/26 11:46:39,2/25/26 11:56:12,anonymous,,,Year 7,31–60 minutes,Bus,1-3,Physical activity and movement,Latin,A+,After school,Independently,Do a quick review before the assessment,Revision summaries,3–4 hours,21–35 hours,Yes,Sometimes,Communication,Comfortable,No,7-8 hours,After school,5-6,Volleyball;,7+,Socialising,Demonstration/example,Search online,Very disorganised,Start halfway,Some structure,Depends on the task,Library,Sport,HPAF,No,Cats,R&B,Music,2,Banana,Year 9
2,2/25/26 12:44:34,2/25/26 13:29:42,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Problem-solving and calculations,Latin,A+,After school,Independently,Focus closer to the assessment date,All equally useful,3–4 hours,0–5 hours,No,Never,School work,Very comfortable,No,8-9 hours,After school,3-4,Archery;,3-4,Studying,Written steps,Take a break and return later,Very organised,Start immediately,Some structure,Depends on the task,Clubs/Activities,Drama,Athletics Carnival,Yes,Cats,Other,Music,1,Strawberry,Year 9
3,2/25/26 13:57:03,2/25/26 14:01:37,anonymous,,,Year 9,15–30 minutes,Car,1-3,Experiments and investigations,French,B,Late at night,Independently,Prepare gradually,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Very comfortable,No,8-9 hours,Late at night,3-4,Basketball;,1-2,Sport,Figure it out myself,Take a break and return later,Somewhat organised,Start halfway,Balanced,Depends on the task,Oval,Sport,HPAF,Yes,Dogs,Rap/Hip-hop,Complete silence,2,Banana,Year 9
4,2/26/26 20:33:16,2/26/26 20:38:29,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,French,A+,Late at night,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,Yes,Sometimes,School work,Comfortable,Yes,7-8 hours,Late at night,5-6,Tennis;,5-6,Sport,Demonstration/example,Ask a teacher,Very organised,Start close to the deadline,Balanced,Depends on the task,Senior School Quad,Sport,HPAF,Yes,Cats,Rap/Hip-hop,Complete silence,2,Strawberry,Year 9
5,2/26/26 21:05:37,2/26/26 21:11:51,anonymous,,,Year 9,15–30 minutes,Car,6-7,Technology and coding,Not studying a language,A,After school,Independently,Do a quick review before the assessment,All equally useful,0–2 hours,11–20 hours,Not sure,Rarely,Entertainment,Very uncomfortable,No,8-9 hours,After school,1-2,Soccer;Rowing;,0,Studying,Demonstration/example,Ask a teacher,Neutral,Start immediately,Balanced,Depends on the task,Library,Sport,None,No,Cats,Other,Music,2,Strawberry,Year 9
6,2/27/26 10:00:41,2/27/26 10:13:31,anonymous,,,Year 9,15–30 minutes,Tram/Train,6-7,Technology and coding,Chinese,B,After school,Independently,Do a quick review before the assessment,Revision summaries,0–2 hours,11–20 hours,Yes,Sometimes,School work,Comfortable,No,8-9 hours,During school,7,Basketball;Table Tennis;Badminton;,1-2,Gaming,Demonstration/example,Search online,Neutral,Start close to the deadline,Balanced,Depends on the task,Senior School Quad,Sport,None,Yes,Cats,Other,Music,2,Banana,Year 9
7,2/27/26 10:29:10,2/27/26 10:32:05,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Reading and writing,French,A,After school,Independently,Prepare gradually,All equally useful,0–2 hours,6–10 hours,Yes,Rarely,Communication,Comfortable,Not sure,8-9 hours,After school,3-4,Rowing;,3-4,Studying,Demonstration/example,Keep trying independently,Neutral,Start halfway,Strong structure,Depends on the task,Library,Sport,None,No,Cats,Other,Complete silence,3,Not sure,Year 9
8,2/27/26 10:29:13,2/27/26 10:32:41,anonymous,,,Year 9,Under 15 minutes,Car,1-3,Reading and writing,Chinese,A+,During school,Independently,Do a quick review before the assessment,Reading,0–2 hours,6–10 hours,No,Often,Entertainment,Comfortable,No,7-8 hours,Before school,3-4,Soccer;Volleyball;,7+,Studying,Written steps,Search online,Somewhat organised,Start halfway,Strong structure,Solo work,Library,Music,None,Yes,Cats,Pop,Complete silence,2,Strawberry,Year 9
9,2/27/26 10:29:15,2/27/26 10:33:22,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,French,C,Late at night,Independently,Prepare gradually,Practice questions,0–2 hours,11–20 hours,No,Sometimes,Gaming,Slightly uncomfortable,No,7-8 hours,During school,5-6,Basketball;Cross Country;,3-4,Sport,Written steps,Ask a friend,Somewhat organised,Start halfway,Some structure,Depends on the task,Oval,Sport,HPAF,Yes,Dogs,Rock,Quiet background noise,1,Strawberry,Year 9
10,2/27/26 10:29:48,2/27/26 10:33:33,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,Chinese,A+,After school,With a tutor/teacher,Start early and plan,Revision summaries,5–6 hours,0–5 hours,Yes,Often,School work,Very comfortable,No,7-8 hours,During school,7,Cricket;Soccer;,5-6,Studying,Demonstration/example,Search online,Somewhat organised,Start early,Strong structure,Depends on the task,Oval,Community/Outreach,HPAF,No,Dogs,Rap/Hip-hop,Complete silence,2,Banana,Year 9
